SeqId,NussinovFolderFolding Tns,
seq_10_0,63995,
seq_10_1,93018,
seq_10_2,78213,
seq_10_3,71079,
seq_10_4,46021,
seq_10_5,40460,
seq_10_6,37740,
seq_10_7,41517,
seq_10_8,44506,
seq_10_9,40157,
seq_10_10,40148,
seq_10_11,39231,
seq_10_12,42733,
seq_10_13,37544,
seq_10_14,42641,
seq_10_15,30637,
seq_10_16,45490,
seq_10_17,52110,
seq_10_18,34900,
seq_10_19,47679,
seq_10_20,42223,
seq_10_21,43196,
seq_10_22,36520,
seq_10_23,39891,
seq_10_24,34182,
seq_10_25,44990,
seq_10_26,73095,
seq_10_27,43224,
seq_10_28,43045,
seq_10_29,47058,
seq_10_30,30178,
seq_10_31,41723,
seq_10_32,44410,
seq_10_33,82981,
seq_10_34,47148,
seq_10_35,42334,
seq_10_36,42218,
seq_10_37,41988,
seq_10_38,45802,
seq_10_39,44908,
seq_10_40,42226,
seq_10_41,41851,
seq_10_42,46734,
seq_10_43,44559,
seq_10_44,41043,
seq_10_45,46261,
seq_10_46,46006,
seq_10_47,42761,
seq_10_48,42988,
seq_10_49,43130,
seq_10_50,71726,
seq_10_51,51162,
seq_10_52,44640,
seq_10_53,42891,
seq_10_54,43698,
seq_10_55,48229,
seq_10_56,45027,
seq_10_57,46224,
seq_10_58,44077,
seq_10_59,46726,
seq_10_60,45017,
seq_10_61,44221,
seq_10_62,27928,
seq_10_63,28681,
seq_10_64,28248,
seq_10_65,34342,
seq_10_66,36818,
seq_10_67,34846,
seq_10_68,37519,
seq_10_69,36267,
seq_10_70,36749,
seq_10_71,35430,
seq_10_72,37474,
seq_10_73,34279,
seq_10_74,35818,
seq_10_75,35049,
seq_10_76,38178,
seq_10_77,33513,
seq_10_78,36016,
seq_10_79,35750,
seq_10_80,37563,
seq_10_81,30421,
seq_10_82,29471,
seq_10_83,34752,
seq_10_84,36352,
seq_10_85,39372,
seq_10_86,30294,
seq_10_87,31932,
seq_10_88,31487,
seq_10_89,36556,
seq_10_90,32585,
seq_10_91,35964,
seq_10_92,26971,
seq_10_93,35686,
seq_10_94,33617,
seq_10_95,26316,
seq_10_96,26197,
seq_10_97,26662,
seq_10_98,31757,
seq_10_99,50607,
seq_20_0,200642,
seq_20_1,173424,
seq_20_2,218889,
seq_20_3,202284,
seq_20_4,201959,
seq_20_5,187153,
seq_20_6,192831,
seq_20_7,199991,
seq_20_8,204210,
seq_20_9,199438,
seq_20_10,85785,
seq_20_11,67830,
seq_20_12,81407,
seq_20_13,83191,
seq_20_14,82337,
seq_20_15,81937,
seq_20_16,85402,
seq_20_17,81546,
seq_20_18,83016,
seq_20_19,83271,
seq_20_20,86304,
seq_20_21,99891,
seq_20_22,93422,
seq_20_23,82609,
seq_20_24,80567,
seq_20_25,251231,
seq_20_26,87370,
seq_20_27,83251,
seq_20_28,83847,
seq_20_29,80885,
seq_20_30,83220,
seq_20_31,80759,
seq_20_32,120224,
seq_20_33,79967,
seq_20_34,80138,
seq_20_35,80908,
seq_20_36,88637,
seq_20_37,107238,
seq_20_38,93005,
seq_20_39,54812,
seq_20_40,56426,
seq_20_41,55607,
seq_20_42,62485,
seq_20_43,55921,
seq_20_44,56673,
seq_20_45,82798,
seq_20_46,86750,
seq_20_47,97021,
seq_20_48,86050,
seq_20_49,89782,
seq_20_50,109154,
seq_20_51,86084,
seq_20_52,113909,
seq_20_53,109945,
seq_20_54,91946,
seq_20_55,583641,
seq_20_56,80128,
seq_20_57,86992,
seq_20_58,92241,
seq_20_59,81647,
seq_20_60,97030,
seq_20_61,57268,
seq_20_62,55400,
seq_20_63,83687,
seq_20_64,59202,
seq_20_65,91034,
seq_20_66,66813,
seq_20_67,55619,
seq_20_68,84982,
seq_20_69,82200,
seq_20_70,87634,
seq_20_71,55827,
seq_20_72,56458,
seq_20_73,62120,
seq_20_74,54651,
seq_20_75,58989,
seq_20_76,57595,
seq_20_77,58044,
seq_20_78,60302,
seq_20_79,57793,
seq_20_80,58861,
seq_20_81,58613,
seq_20_82,58631,
seq_20_83,110823,
seq_20_84,93367,
seq_20_85,56511,
seq_20_86,56289,
seq_20_87,56682,
seq_20_88,56298,
seq_20_89,61696,
seq_20_90,55730,
seq_20_91,86820,
seq_20_92,85289,
seq_20_93,90936,
seq_20_94,86784,
seq_20_95,77707,
seq_20_96,84084,
seq_20_97,85030,
seq_20_98,83822,
seq_20_99,84445,
seq_30_0,193281,
seq_30_1,195786,
seq_30_2,195804,
seq_30_3,295054,
seq_30_4,220162,
seq_30_5,222360,
seq_30_6,212921,
seq_30_7,195799,
seq_30_8,173900,
seq_30_9,169511,
seq_30_10,169770,
seq_30_11,184439,
seq_30_12,169914,
seq_30_13,179728,
seq_30_14,170118,
seq_30_15,168712,
seq_30_16,187712,
seq_30_17,450048,
seq_30_18,184468,
seq_30_19,248935,
seq_30_20,170808,
seq_30_21,233882,
seq_30_22,294542,
seq_30_23,300609,
seq_30_24,231371,
seq_30_25,265931,
seq_30_26,171973,
seq_30_27,237185,
seq_30_28,284591,
seq_30_29,296005,
seq_30_30,200532,
seq_30_31,265557,
seq_30_32,215731,
seq_30_33,229186,
seq_30_34,167941,
seq_30_35,238933,
seq_30_36,168582,
seq_30_37,240452,
seq_30_38,168907,
seq_30_39,241809,
seq_30_40,170636,
seq_30_41,224508,
seq_30_42,215477,
seq_30_43,268957,
seq_30_44,199610,
seq_30_45,378875,
seq_30_46,168354,
seq_30_47,370667,
seq_30_48,265988,
seq_30_49,336647,
seq_30_50,269306,
seq_30_51,349334,
seq_30_52,278394,
seq_30_53,347637,
seq_30_54,268654,
seq_30_55,334704,
seq_30_56,264897,
seq_30_57,603544,
seq_30_58,246999,
seq_30_59,269443,
seq_30_60,218261,
seq_30_61,274659,
seq_30_62,204068,
seq_30_63,271375,
seq_30_64,199466,
seq_30_65,247065,
seq_30_66,201340,
seq_30_67,264755,
seq_30_68,197771,
seq_30_69,269915,
seq_30_70,197469,
seq_30_71,272414,
seq_30_72,211695,
seq_30_73,220194,
seq_30_74,172330,
seq_30_75,250978,
seq_30_76,210348,
seq_30_77,278364,
seq_30_78,218949,
seq_30_79,293765,
seq_30_80,205748,
seq_30_81,260706,
seq_30_82,174262,
seq_30_83,245975,
seq_30_84,169059,
seq_30_85,234664,
seq_30_86,170395,
seq_30_87,243437,
seq_30_88,186256,
seq_30_89,272248,
seq_30_90,260786,
seq_30_91,342285,
seq_30_92,203323,
seq_30_93,269741,
seq_30_94,198414,
seq_30_95,264570,
seq_30_96,202424,
seq_30_97,249104,
seq_30_98,205858,
seq_30_99,258158,
seq_40_0,536566,
seq_40_1,461861,
seq_40_2,443558,
seq_40_3,433071,
seq_40_4,457023,
seq_40_5,406919,
seq_40_6,401309,
seq_40_7,414009,
seq_40_8,398456,
seq_40_9,413411,
seq_40_10,420524,
seq_40_11,415320,
seq_40_12,412790,
seq_40_13,401170,
seq_40_14,409086,
seq_40_15,405390,
seq_40_16,406791,
seq_40_17,424121,
seq_40_18,406698,
seq_40_19,404162,
seq_40_20,469786,
seq_40_21,453751,
seq_40_22,422885,
seq_40_23,417155,
seq_40_24,415066,
seq_40_25,416930,
seq_40_26,422595,
seq_40_27,408597,
seq_40_28,435369,
seq_40_29,455360,
seq_40_30,622960,
seq_40_31,622049,
seq_40_32,624988,
seq_40_33,636441,
